timestamp,T_open,T_high,T_low,T_close,F_open,F_high,F_low,F_close,F_vol,TX
2019/1/2 08:45,0,0,0,0,9760,9762,9745,9749,2956,9761.64
2019/1/2 08:46,0,0,0,0,9751,9755,9743,9744,865,9756.63
2019/1/2 08:47,0,0,0,0,9744,9749,9743,9747,343,9759.64
2019/1/2 08:48,0,0,0,0,9747,9749,9746,9747,322,9759.64
2019/1/2 08:49,0,0,0,0,9747,9748,9743,9743,349,9755.63
2019/1/2 08:50,0,0,0,0,9743,9747,9743,9745,294,9757.63
2019/1/2 08:51,0,0,0,0,9745,9749,9745,9748,264,9760.64
2019/1/2 08:52,0,0,0,0,9748,9748,9746,9747,104,9759.64
2019/1/2 08:53,0,0,0,0,9746,9747,9744,9745,230,9757.63
2019/1/2 08:54,0,0,0,0,9745,9745,9741,9743,347,9755.63
2019/1/2 08:55,0,0,0,0,9742,9743,9736,9742,619,9754.63
2019/1/2 08:56,0,0,0,0,9741,9742,9738,9741,189,9753.63
2019/1/2 08:57,0,0,0,0,9740,9741,9739,9740,152,9752.63
2019/1/2 08:58,0,0,0,0,9741,9741,9734,9737,468,9749.62
2019/1/2 08:59,0,0,0,0,9737,9740,9734,9736,378,9748.62
2019/1/2 09:00,9727.41,9731.75,9724.78,9730.88,9737,9738,9705,9718,2979,9730.88
2019/1/2 09:01,9737.68,9737.68,9730.1,9731.89,9719,9721,9713,9716,917,9731.89
2019/1/2 09:02,9731.54,9733.01,9726.73,9729.13,9715,9718,9708,9709,1095,9729.13
2019/1/2 09:03,9727.67,9730.12,9727.12,9730.12,9709,9710,9700,9706,1659,9730.12
2019/1/2 09:04,9729.62,9732.47,9727.6,9728.16,9706,9706,9697,9703,1186,9728.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
