timestamp,T_open,T_high,T_low,T_close,F_open,F_high,F_low,F_close,F_vol,TX,Low_1_SP,High_1_SP,Low_2_SP,High_2_SP,Low_3_SP,High_3_SP,Low_4_SP,High_4_SP,Low_5_SP,High_5_SP,ITM_1_call,ITM_1_call_TV,ITM_1_put,ITM_1_put_TV,OTM_1_call,OTM_1_put,ATMS,ATMS_interpolated,remaining_time,time_label
2019/1/2 08:45,0,0,0,0,9760,9762,9745,9749,2956,9761.64,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,31,19.360000000000582,42,3.639999999999418,7.3,15,0.29613696059269334,0.29613696059269334,285,week 3 08:45
2019/1/2 08:46,0,0,0,0,9751,9755,9743,9744,865,9756.63,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,27,20.37,47.5,4.13,7,18,0.35624981166653885,0.35624981166653885,284,week 3 08:46
2019/1/2 08:47,0,0,0,0,9744,9749,9743,9747,343,9759.64,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,27.5,17.860000000000582,45.5,5.139999999999418,6.5,16.5,0.307179199,0.307179199,283,week 3 08:47
2019/1/2 08:48,0,0,0,0,9747,9749,9746,9747,322,9759.64,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,27,17.360000000000582,45,4.639999999999418,5.7,16.5,0.3004756732830374,0.3004756732830374,282,week 3 08:48
2019/1/2 08:49,0,0,0,0,9747,9748,9743,9743,349,9755.63,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,25.5,19.87,46.5,2.1299999999991996,5.5,16.5,0.3396385061754196,0.3396385061754196,281,week 3 08:49
2019/1/2 08:50,0,0,0,0,9743,9747,9743,9745,294,9757.63,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,25.5,17.87,46.5,4.13,5.8,16.5,0.31401535003890235,0.31401535003890235,280,week 3 08:50
2019/1/2 08:51,0,0,0,0,9745,9749,9745,9748,264,9760.64,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,27,16.360000000000582,45,5.639999999999418,6.1,15.5,0.2825477017900524,0.2825477017900524,279,week 3 08:51
2019/1/2 08:52,0,0,0,0,9748,9748,9746,9747,104,9759.64,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,27,17.360000000000582,45,4.639999999999418,6,15.5,0.2927975212200513,0.2927975212200513,278,week 3 08:52
2019/1/2 08:53,0,0,0,0,9746,9747,9744,9745,230,9757.63,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,26,18.37,46,3.6299999999991996,5.7,16.5,0.3174192503712579,0.3174192503712579,277,week 3 08:53
2019/1/2 08:54,0,0,0,0,9745,9745,9741,9743,347,9755.63,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,24.5,18.87,47.5,3.1299999999991996,5,17,0.3356674658633125,0.3356674658633125,276,week 3 08:54
2019/1/2 08:55,0,0,0,0,9742,9743,9736,9742,619,9754.63,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,24,19.37,48.5,3.1299999999991996,4.7,17.5,0.35040689395703495,0.35040689395703495,275,week 3 08:55
2019/1/2 08:56,0,0,0,0,9741,9742,9738,9741,189,9753.63,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,23,19.37,50,3.6299999999991996,4.5,18.5,0.36612908219812695,0.36612908219812695,274,week 3 08:56
2019/1/2 08:57,0,0,0,0,9740,9741,9739,9740,152,9752.63,9750,9800,9700,9850,9650,9900,9600,9950,9550,10000,23.5,20.87,50,2.6299999999991996,4.9,18,0.3816561891510416,0.3816561891510416,273,week 3 08:57
2019/1/2 08:58,0,0,0,0,9741,9741,9734,9737,468,9749.62,9700,9750,9650,9800,9600,9850,9550,9900,9500,9950,57,7.38,19.5,19.12,21,5.3,0.40936422137479433,0.40936422137479433,272,week 3 08:58
2019/1/2 08:59,0,0,0,0,9737,9740,9734,9736,378,9748.62,9700,9750,9650,9800,9600,9850,9550,9900,9500,9950,57,8.38,20,18.62,20,5.3,0.38909769793059074,0.38909769793059074,271,week 3 08:59
2019/1/2 09:00,9727.41,9731.75,9724.78,9730.88,9737,9738,9705,9718,2979,9730.88,9700,9750,9650,9800,9600,9850,9550,9900,9500,9950,44,13.12,27,7.88,13.5,7.9,0.21829820119043503,0.21829820119043503,270,week 3 09:00
