timestamp,T_open,T_high,T_low,T_close,F_open,F_high,F_low,F_close,TX,F_vol,TX_volatility,ITM_1_call,ITM_1_call_TV,ITM_1_put,ITM_1_put_TV,OTM_1_call,OTM_1_put,ATMS,ATMS_interpolated,remaining_time,time_label,ATMS_avg,ATMS_pos_std,ATMS_neg_std,ATMS_upbond,ATMS_downbond,ATMS_pos_std_EMA,ATMS_neg_std_EMA,ATMS_Nstd,time
2019/3/20 15:00,0,0,0,0,10521,10527,10521,10523,10537.64,1434,32.6004,85,47.36,69,56.64,55,48.5,1.022422326,1.022422326,9990,week 3 15:00,1.125987717,0.376742826,0.054217626,1.879473368,1.017552465,0.376742826,0.054217626,1.910179377,15:00
2019/3/20 15:30,0,0,0,0,10523,10526,10520,10525,10535.64,670,20.0402,85,49.36,70,55.64,55,49,1.016674678,1.016674678,9960,week 3 15:30,1.267424771,0.287073752,0.069610588,1.841572275,1.128203594,0.328172078,0.06255548,4.008443245,15:30
2019/3/20 16:00,0,0,0,0,10526,10528,10522,10522,10539.65,472,12.5402,87,47.35,70,59.65,57,48.5,1.065921544,1.065921544,9930,week 3 16:00,1.215280787,0.128757173,0.102276531,1.472795134,1.010727726,0.250340394,0.078058616,1.91342419,16:00
2019/3/20 16:30,0,0,0,0,10522,10526,10522,10525,10536.64,453,19.1204,85,47.36,70,57.64,56,49.5,1.03157508,1.028085502,9900,week 3 16:30,1.335717918,0.352803722,0.074022813,2.041325363,1.187672293,0.282684063,0.07678467,4.006430124,16:30
2019/3/20 17:00,0,0,0,0,10525,10525,10520,10522,10538.64,527,14.5,85,48.36,70,56.64,56,48,1.030282747,1.03254582,9870,week 3 17:00,1.360465991,0.024843502,0.071533025,1.105938937,1.217399942,0.212629704,0.075357817,4.351508366,17:00
2019/3/20 17:30,0,0,0,0,10522,10522,10513,10515,10535.64,747,23.1205,84,50.36,70,55.64,55,51,1.023188111,1.015185598,9840,week 3 17:30,1.13751114,0.164359404,0.056700474,1.466229948,1.024110193,0.200897482,0.070823101,1.727198339,17:30
2019/3/20 18:00,0,0,0,0,10515,10517,10510,10511,10529.63,624,32,81,51.37,75,54.63,52,54,1.007791119,1.007791119,9810,week 3 18:00,1.283022108,0.427649177,0.108784603,2.138320463,1.065452903,0.251496329,0.079294077,3.471015728,18:00
2019/3/20 18:30,0,0,0,0,10511,10514,10507,10510,10525.63,608,39.1404,78,53.37,77,53.63,51,55,1.006121389,1.002471864,9780,week 3 18:30,1.341810118,0.038823263,0.051236306,1.106952699,1.138897264,0.207114738,0.073438853,4.620691102,18:30
2019/3/20 19:00,0,0,0,0,10510,10513,10508,10513,10522.62,418,17.1808,78,56.38,78,49.62,49,57,1.018987342,1.018578573,9750,week 3 19:00,1.525696114,0.002762902,0.256285232,1.066934635,1.01312565,0.166686672,0.109612375,4.626462501,19:00
2019/3/20 19:30,0,0,0,0,10513,10517,10512,10516,10527.63,415,16.5,81,53.37,76,53.63,53,54,1.016003374,1.0140744,9720,week 3 19:30,1.364631699,0.258804674,0.030890702,1.982998862,1.302850296,0.184142997,0.094694648,3.701975834,19:30
2019/3/20 20:00,0,0,0,0,10516,10519,10514,10516,10531.64,534,20.1004,84,52.36,74,55.64,55,53,1.032139192,1.032139192,9690,week 3 20:00,1.077862989,0.024100519,0.000306751,1.061172684,1.077249486,0.154859083,0.077423939,0.590564074,20:00
2019/3/20 20:30,0,0,0,0,10516,10516,10508,10508,10529.63,440,30.0401,82,53.37,75,52.63,53,53,1.010561557,1.019742341,9660,week 3 20:30,1.334803052,0.287319248,0.147975178,2.035651086,1.038852696,0.178410065,0.089967718,3.501930673,20:30
2019/3/20 21:00,0,0,0,0,10509,10515,10508,10512,10523.63,384,28.0401,79,55.37,78,51.63,51,56,1.019035029,1.019035029,9630,week 3 21:00,1.108593619,0.04728756,0.042113276,1.255525265,1.119021658,0.155642217,0.081658369,1.096747233,21:00
2019/3/20 21:30,0,0,0,0,10513,10513,10502,10503,10522.62,1963,65.1203,78,55.38,80,52.62,50,57,1.026023709,1.026023709,9600,week 3 21:30,1.16193181,0.026263061,0.035058378,1.108673102,1.091815053,0.133613078,0.073723878,1.843474653,21:30
2019/3/20 22:00,0,0,0,0,10502,10509,10500,10507,10517.62,1374,60.1202,74,56.38,81,48.62,46.5,58,1.022976453,1.022976453,9570,week 3 22:00,1.311978726,0.357797004,0.090266784,2.027572734,1.131445158,0.171167723,0.076495098,3.778049575,22:00
2019/3/20 22:30,0,0,0,0,10506,10509,10504,10509,10520.62,789,54,74,53.38,78,48.62,48,56,0.989654374,0.989654374,9540,week 3 22:30,1.188035281,0.131169942,0.067472634,1.450375165,1.053090013,0.164557774,0.075004065,2.644935416,22:30
2019/3/20 23:00,0,0,0,0,10509,10513,10506,10507,10524.63,769,34.1806,78,53.37,76,50.63,50,54,0.988632151,0.988632151,9510,week 3 23:00,1.220289877,0.154771323,0.06334058,1.529832522,1.093608717,0.162958734,0.07309833,3.169124742,23:00
2019/3/20 23:30,0,0,0,0,10508,10508,10488,10490,10520.62,2149,119.2804,76,56.38,79,46.62,48.5,56,1.013468598,1.006176998,9480,week 3 23:30,1.210005079,0.266144179,0.109412281,1.742293436,0.991180517,0.179659102,0.078975674,2.580897022,23:30
2019/3/21 00:00,0,0,0,0,10489,10496,10485,10494,10502.6,1324,62.1804,65,62.4,87,39.6,40.5,61,1.153508655,1.153508655,9450,week 4 00:00,1.332665302,0.174463252,0.016749655,1.681591807,1.299165992,0.178824839,0.06898446,2.597058053,00:00
2019/3/21 00:30,0,0,0,0,10494,10494,10480,10486,10506.6,1510,108.1001,68,64.4,84,37.6,43.5,61,1.179843072,1.157128119,9420,week 4 00:30,1.212059423,0.240054168,0.071757852,1.69216776,1.068543719,0.188590425,0.069426794,0.791211873,00:30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
